"imagename","word","list","difficulty"
"A-ancrusinishness","ancrusinishness","A",-0.220515916710108
"A-answer","answer","A",-1.37156855843957
"A-arm","arm","A",-1.02199846063341
"A-arsher","arsher","A",-0.151403533164509
"A-back","back","A",-1.60223348566015
"A-bads","bads","A",4.40653099370152
"A-become","become","A",-2.45352255815248
"A-beeltisul","beeltisul","A",-0.784556180891589
"A-best","best","A",-1.13843053174022
"A-black","black","A",-2.0911562601229
"A-blans","blans","A",-0.234094998566311
"A-bledge","bledge","A",-0.135848121509888
"A-brought","brought","A",-0.961921801695245
"A-bulbet","bulbet","A",-0.365781665344524
"A-cibsus","cibsus","A",-0.787491998974761
"A-coth","coth","A",0.667377884364757
"A-crit","crit","A",-0.274183082168774
"A-cuppom","cuppom","A",-0.374942339530277
"A-custom","custom","A",-0.226381035709434
"A-describe","describe","A",-0.442160634464598
"A-dryer","dryer","A",0.375997885207878
"A-ef","ef","A",-3.02297618703336
"A-elements","elements","A",-0.207534484204157
"A-faster","faster","A",-1.80123285291765
"A-fatter","fatter","A",1.40277179821895
"A-fattify","fattify","A",-0.702155314944488
"A-from","from","A",-1.94992028004805
"A-fror","fror","A",-0.500837945565935
"A-ggnoi","ggnoi","A",-3.05546162715429
"A-ginth","ginth","A",-0.595087464643762
"A-groon","groon","A",1.09430491119382
"A-guess","guess","A",-1.27696801389258
"A-however","however","A",-1.60673302339263
"A-hus","hus","A",-1.24772531601148
"A-hust","hust","A",1.27749253883296
"A-inni","inni","A",-1.62288277119466
"A-inside","inside","A",-1.81740921750463
"A-invent","invent","A",-0.855479457686717
"A-ip","ip","A",-1.89193611968273
"A-leld","leld","A",0.385254696475789
"A-liberty","liberty","A",-0.677567940825362
"A-library","library","A",-1.15191558571268
"A-listen","listen","A",-1.20164957704972
"A-loms","loms","A",-1.75688582854324
"A-losh","losh","A",-0.967879705832694
"A-lunch","lunch","A",-1.86747644203503
"A-miss","miss","A",-2.25034843907497
"A-mystery","mystery","A",-1.49225574861212
"A-nied","nied","A",-0.676552615745061
"A-night","night","A",-1.4171167193834
"A-nop","nop","A",-1.00158220302925
"A-nulch","nulch","A",-1.41740015653455
"A-om","om","A",-1.4816293946167
"A-once","once","A",-1.00464711794702
"A-pickle","pickle","A",-0.929247702287423
"A-play","play","A",-3.36850040367061
